x,y,longitude,latitude,area
8651,5677,760053.399,3352573.56,17.0
8519,5673,759987.399,3352575.56,11.5
10040,5672,760747.899,3352576.06,20.0
9100,5672,760277.899,3352576.06,11.0
9858,5669,760656.899,3352577.56,13.0
10108,5652,760781.899,3352586.06,15.0
8514,5650,759984.899,3352587.06,12.5
9201,5649,760328.399,3352587.56,18.0
9213,5648,760334.399,3352588.06,31.5
8617,5643,760036.399,3352590.56,12.0
10116,5641,760785.899,3352591.56,11.5
8664,5641,760059.899,3352591.56,13.5
9593,5638,760524.399,3352593.06,11.0
9281,5637,760368.399,3352593.56,13.5
8689,5631,760072.399,3352596.56,15.0
8524,5627,759989.899,3352598.56,11.5
8531,5627,759993.399,3352598.56,20.0
10105,5624,760780.399,3352600.06,19.0
9292,5620,760373.899,3352602.06,12.5
9166,5621,760310.899,3352601.56,17.5
10130,5625,760792.899,3352599.56,56.5
10172,5612,760813.899,3352606.06,15.0
9262,5612,760358.899,3352606.06,31.0
10134,5611,760794.899,3352606.56,24.5
10152,5608,760803.899,3352608.06,23.5
8706,5594,760080.899,3352615.06,22.0
10237,5590,760846.399,3352617.06,13.0
10176,5587,760815.899,3352618.56,22.0
10130,5581,760792.899,3352621.56,11.5
10126,5573,760790.899,3352625.56,24.0
8525,5570,759990.399,3352627.06,11.5
10132,5567,760793.899,3352628.56,11.0
10237,5554,760846.399,3352635.06,10.5
8212,5545,759833.899,3352639.56,14.5
8683,5545,760069.399,3352639.56,12.0
9320,5544,760387.899,3352640.06,24.0
9315,5539,760385.399,3352642.56,22.0
9985,5530,760720.399,3352647.06,18.0
8706,5528,760080.899,3352648.06,35.0
8824,5515,760139.899,3352654.56,25.0
9193,5484,760324.399,3352670.06,12.0
9195,5475,760325.399,3352674.56,11.0
9376,5473,760415.899,3352675.56,16.0
9397,5470,760426.399,3352677.06,17.5
9185,5469,760320.399,3352677.56,11.0
9095,5461,760275.399,3352681.56,16.5
9385,5459,760420.399,3352682.56,13.0
8433,5460,759944.399,3352682.06,12.0
8358,5459,759906.899,3352682.56,18.0
9112,5453,760283.899,3352685.56,18.5
8442,5452,759948.899,3352686.06,12.0
8415,5450,759935.399,3352687.06,19.5
9116,5448,760285.899,3352688.06,10.5
9521,5447,760488.399,3352688.56,22.0
8789,5450,760122.399,3352687.06,37.0
8367,5445,759911.399,3352689.56,10.5
8855,5445,760155.399,3352689.56,14.5
9055,5443,760255.399,3352690.56,14.0
9385,5443,760420.399,3352690.56,15.5
9084,5442,760269.899,3352691.06,17.5
8755,5444,760105.399,3352690.06,27.5
9372,5435,760413.899,3352694.56,13.0
8517,5429,759986.399,3352697.56,22.5
9441,5425,760448.399,3352699.56,23.5
8824,5422,760139.899,3352701.06,17.0
